Index,Reading No,Time,Type,Duration,Units,Sigma Value,Sequence,Flags,SAMPLE,Cu,Fe,Ca,S,Sn,Si,Cl,Mg,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Sc,Sc Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Te,Te Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Ag,Ag Error,Pd,Pd Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Al,Al Error,P,P Error,Si,Si Error,Cl,Cl Error,Mg,Mg Error
11,2645,01/06/2007 00:31,TestAll Geo,120.52,ppm,2,Final,-8mm ,ar -16.2-ya,Cu,NA,Ca,S,Sn,Si,NA,NA,< LOD,17.85,< LOD,13.47,102.89,12.53,< LOD,300000,< LOD,13.95,< LOD,300000,2840.78,145.65,< LOD,92.24,< LOD,42.55,2884.42,166.55,< LOD,300000,1060.86,181.47,< LOD,356.3,444321.19,9258.44,218.76,119.99,1029.11,112.89,6711.96,254.91,< LOD,239.58,< LOD,52.4,< LOD,53.46,577.97,71.78,104.29,38.83,21961.75,864.26,1257.34,265.76,73844.17,702.29,< LOD,616.39,28.6,18.54,< LOD,127.65,228.94,69.76,197821.86,5690.35,< LOD,81.61,124.97,34.44,< LOD,18.22,216851.25,16257.8,< LOD,12.08,< LOD,69.1,< LOD,1.5,< LOD,1.5,< LOD,1.5,5982.24,1372.32,< LOD,180.99,17795.87,476.76,4383.6,75.64,< LOD,7332.73
12,2644,01/06/2007 00:27,TestAll Geo,121.41,ppm,2,Final,-8mm ,ar -16.1-ya,Cu,Fe,Ca,S,NA,Si,NA,NA,22.73,4.65,90.63,12.38,3210.96,45.06,< LOD,300000,9.69,2.96,< LOD,300000,93.3,12.32,< LOD,25.52,< LOD,5.94,429.36,20.69,< LOD,300000,798.95,56.3,< LOD,97.79,100221.79,1024.25,< LOD,62.98,427.09,100.72,32965.53,397.91,230.53,68.96,66.04,33.07,< LOD,59.34,1330.14,108.41,< LOD,134.76,283424.47,2243.55,1686.58,165.68,36749.7,454.62,344.74,66.74,60.34,9.34,62.58,25.06,< LOD,26.31,781.54,32.85,< LOD,13.26,12.66,8.38,< LOD,6.02,495289.66,3407.18,6.83,3.4,< LOD,11.73,< LOD,1.5,< LOD,1.5,< LOD,1.5,4713.24,1410.62,< LOD,281.17,34721.23,869.34,2323.69,71.42,< LOD,7249.25
13,2643,01/06/2007 00:23,TestAll Geo,122,ppm,2,Final,-8mm ,ar -15.2-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.64,85.48,8.04,3553.68,19.3,32.55,8.81,< LOD,4.43,< LOD,4.8,27.46,5.51,< LOD,8.05,< LOD,4.43,26.71,5.18,< LOD,13.89,83.17,12.84,< LOD,39.86,4123.87,61.3,84.11,18.74,< LOD,18.71,2870.97,81.06,226.55,44.64,< LOD,13.93,< LOD,12.2,224.74,35.22,< LOD,141.14,293909.81,1869.41,1657.87,122.67,24599.13,338.72,443.72,35.34,69.37,6.81,103.44,18.64,24.29,8.67,95.53,8.94,< LOD,10.79,10.49,6.32,< LOD,8.57,627158.56,1818.62,< LOD,2.44,< LOD,6.73,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1934.87,< LOD,249.27,38781.55,847.1,2332.39,64,< LOD,3828.48
14,2642,01/06/2007 00:20,TestAll Geo,120.37,ppm,2,Final,-8mm ,ar -15.1-ya,Cu,NA,Ca,S,NA,NA,NA,NA,< LOD,16.51,< LOD,21.59,1389.53,43.08,< LOD,300000,< LOD,5.97,< LOD,300000,49.71,19.33,< LOD,46.14,< LOD,11.15,84.2,21.83,< LOD,300000,< LOD,254.07,< LOD,198.36,385613.22,5538.39,< LOD,78.45,< LOD,55.17,530.61,65.05,< LOD,82.76,< LOD,38,< LOD,31.62,< LOD,73.19,< LOD,77.32,47239.77,1031.73,< LOD,162.43,130922.61,1339.53,176.58,79.17,40.31,11.08,47.12,29.84,< LOD,31.92,85.45,23.48,< LOD,14.94,< LOD,14.84,< LOD,8.45,424127,7396.64,< LOD,7.79,< LOD,20.03,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2495.85,234.34,130.58,5054.31,293.86,4482.28,83.37,< LOD,7224.05
15,2641,01/06/2007 00:17,TestAll Geo,121.31,ppm,2,Final,-8mm ,ar -14.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.06,85.04,4.43,991.02,8.88,11.42,4.76,4.28,1.31,< LOD,3.5,38.9,4.97,< LOD,6.01,< LOD,3.39,19.27,4.48,< LOD,10.97,160.14,13.14,< LOD,32.43,5067.75,58.53,< LOD,20.84,< LOD,14.76,2471.05,65.82,376.27,41.45,39.7,20,< LOD,13.34,635.32,34.56,< LOD,97.97,200119.75,1342.62,3288.46,118.84,26122.68,334.54,202.65,31.04,24.36,6.08,48.24,16.71,26.45,8.12,126.1,8.72,12.8,6.89,9.75,5.82,< LOD,7.93,658952.31,1523.18,< LOD,2.53,< LOD,4.72,< LOD,1.5,< LOD,1.5,< LOD,1.5,2511.72,764.3,< LOD,271.38,92222.07,1164.34,6618.7,97.5,< LOD,3637.83
16,2640,01/06/2007 00:14,TestAll Geo,121.96,ppm,2,Final,-8mm ,ar -14.2-ya,NA,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.61,137.29,13.74,8249.03,34.08,37.59,14.36,< LOD,6.88,< LOD,6.73,57.29,8.45,< LOD,9.69,< LOD,5.28,45.84,7.87,< LOD,17.71,131.76,19.47,< LOD,51.36,9360.44,105.74,69.09,22.64,< LOD,20.71,2528.11,89.4,167.86,51.14,< LOD,15.77,< LOD,14.21,180.67,41.13,< LOD,162.48,309396.56,2134.19,2794.44,157.05,54011.06,517.23,382.31,36.01,68.05,7.04,101.44,19.25,26.48,9.01,163.3,10.2,< LOD,11.24,14.17,6.65,< LOD,9,585683.81,2285.92,3.9,2.59,< LOD,9.34,< LOD,1.5,< LOD,1.5,< LOD,1.5,2724.12,989.7,< LOD,255.42,14752.51,559.25,11639.99,139.54,< LOD,5594.38
17,2639,01/06/2007 00:10,TestAll Geo,121.72,ppm,2,Final,-8mm ,ar -14.1-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,5.21,143.44,16.2,8818.62,40.28,< LOD,24.21,< LOD,7.84,< LOD,7.92,47.67,9.2,< LOD,11.61,< LOD,5.97,32.05,8.23,< LOD,18.85,99.55,19.23,< LOD,54.68,6078.85,98,81.73,26.05,< LOD,22.53,1874.82,89.71,173.12,58.39,< LOD,18.41,< LOD,16.35,310.95,50.61,< LOD,209.42,358156.13,2582.51,2359.44,180.72,41738.37,462.38,356.09,34.62,64.47,6.79,83.58,18.39,27.13,8.73,114.3,9.21,12.8,7.4,14.15,6.42,< LOD,8.76,555738.88,2712.77,< LOD,4.42,< LOD,11.04,< LOD,1.5,< LOD,1.5,< LOD,1.5,2009.11,1024.7,< LOD,257.07,17605.06,612.23,6798.33,106.36,< LOD,5645.81
18,2628,06/01/2026 17:46,TestAll Geo,120.11,ppm,2,Final,-8mm ,ar-13.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.47,86.87,7.28,3007.93,17.2,22.28,7.91,5.06,1.78,< LOD,4.79,70.16,7.12,< LOD,7.82,< LOD,4.34,63.82,7.07,28.82,9.39,87.82,11.5,< LOD,36.03,2694.2,48.48,89.06,17.88,< LOD,24.69,6391.33,113.89,317.39,46.39,< LOD,14.91,< LOD,14.16,298.48,38.76,< LOD,143.61,262753.13,1718.08,1958.74,131.04,68227.67,585.6,444.32,33.03,71.92,6.38,94.42,17.31,23.68,8.1,90.91,8.3,< LOD,10.25,15.48,6.05,< LOD,8.24,587770.88,1937.79,< LOD,3.58,< LOD,6.44,< LOD,1.5,< LOD,1.5,< LOD,1.5,6028.54,1037.64,< LOD,283.54,55527.87,976.71,3307.4,76.18,< LOD,4881.47
19,2627,06/01/2026 17:42,TestAll Geo,120.4,ppm,2,Final,-8mm ,ar-13.1-ya,NA,Fe,Ca,S,NA,Si,NA,NA,< LOD,3.71,81.97,6.87,2412.97,15.9,21.11,7.54,4.77,1.75,< LOD,5,91.57,8.14,< LOD,8.14,< LOD,4.46,314.13,11.89,26.86,9.99,108.95,12.7,< LOD,38.81,2883.6,51.84,39.77,18.17,< LOD,39.63,20985.61,260.3,292.05,47.32,< LOD,11.66,< LOD,9.96,246.33,25.44,< LOD,85.92,204328.73,1485.87,2000.27,95.13,48682.16,485.72,364.01,37.73,65.74,7.4,117.9,20.47,34.13,9.63,94.55,9.73,17.7,8.18,25.87,7.35,< LOD,9.87,645403.69,1773,< LOD,4.49,< LOD,6.88,< LOD,1.5,< LOD,1.5,< LOD,1.5,3651.72,874.62,< LOD,279.8,65138.47,1039.48,3208.02,74.93,< LOD,4103.92
20,2626,06/01/2026 17:39,TestAll Geo,122.08,ppm,2,Final,-8mm ,ar-12.3-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,8.96,< LOD,19.99,4061.5,57.92,< LOD,300000,< LOD,3.71,< LOD,300000,164.1,15.63,< LOD,26.32,< LOD,6.15,101.21,15.95,< LOD,300000,478.76,59.35,< LOD,93.48,125295.27,1263.33,< LOD,83.28,< LOD,52.41,1710.3,88.75,< LOD,92.77,< LOD,46.82,< LOD,40.43,225.69,99.59,< LOD,166.77,338703.5,2524.63,475.14,121.73,38431.29,449.54,302.94,64.64,45.09,8.93,61.85,24.23,< LOD,25.27,447.56,26.33,< LOD,12.39,< LOD,12.07,< LOD,6.28,469979.09,3600.34,< LOD,4.3,< LOD,12.5,< LOD,1.5,< LOD,1.5,< LOD,1.5,2379.6,1360.22,< LOD,256.28,14322.31,583.15,2921.69,73.99,< LOD,7605.61
